1,10000001,Serial #,Manufacturer,Name,Purchase Date,Category,Storage,"notes about this
"
2,10000002,,Meyer Sound,Ultra-X40,,Audio,,
3,10000003,,Meyer Sound,Ultra-X40,,Audio,,
4,10000004,,Meyer Sound,Ultra-X40,,Audio,,
5,10000005,,Meyer Sound,Ultra-X40,,Audio,,
6,10000006,,Meyer Sound,Ultra-X40,,Audio,,
7,10000007,,Meyer Sound,Ultra-X40,,Audio,,
8,10000008,,Meyer Sound,Ultra-X40,,Audio,,
9,10000009,,Meyer Sound,Ultra-X40,,Audio,,
10,10000010,,Meyer Sound,750-LFC,,Audio,,
11,10000011,,Meyer Sound,750-LFC,,Audio,,
12,10000012,,Meyer Sound,750-LFC,,Audio,,
13,10000013,,Meyer Sound,750-LFC,,Audio,,
14,10000014,,Meyer Sound,750-LFC,,Audio,,
15,10000015,,Meyer Sound,750-LFC,,Audio,,
16,10000016,,Meyer Sound,750-LFC,,Audio,,
17,10000017,,Meyer Sound,750-LFC,,Audio,,
18,10000018,,Meyer Sound,900-LFC,,Audio,,
19,10000019,,Meyer Sound,900-LFC,,Audio,,
20,10000020,,Meyer Sound,900-LFC,,Audio,,
21,10000021,,Meyer Sound,900-LFC,,Audio,,
22,10000022,,Meyer Sound,900-LFC,,Audio,,
23,10000023,,Meyer Sound,900-LFC,,Audio,,
24,10000024,,Meyer Sound,LINA,,Audio,,
25,10000025,,Meyer Sound,LINA,,Audio,,
26,10000026,,Meyer Sound,LINA,,Audio,,
27,10000027,,Meyer Sound,LINA,,Audio,,
28,10000028,,Meyer Sound,LINA,,Audio,,
29,10000029,,Meyer Sound,LINA,,Audio,,
30,10000030,,Meyer Sound,LINA,,Audio,,
31,10000031,,Meyer Sound,LINA,,Audio,,
32,10000032,,Meyer Sound,LINA,,Audio,,
33,10000033,,Meyer Sound,LINA,,Audio,,
34,10000034,,Meyer Sound,LINA,,Audio,,
35,10000035,,Meyer Sound,LINA,,Audio,,
36,10000036,,Midas,DL251,,Audio,,At La Viña
37,10000037,,Behringer,X32,,Audio,,
38,10000038,,Shure,MX393/S Microflex,,Audio,,
39,10000039,,Shure,MX393/S Microflex,,Audio,,
40,10000040,,Shure,MX393/S Microflex,,Audio,,
41,10000041,,Shure,MX393/S Microflex,,Audio,,
42,10000042,,Shure,MX393/S Microflex,,Audio,,
43,10000043,,Shure,MX393/S Microflex,,Audio,,
44,10000044,,Shure,MX393/S Microflex,,Audio,,
45,10000045,,Shure,MX393/S Microflex,,Audio,,
46,10000046,,Shure,MX393/S Microflex,,Audio,,
47,10000047,,Shure,MX393/S Microflex,,Audio,,
48,10000048,,Shure,MX393/S Microflex,,Audio,,
49,10000049,,Shure,MX393/S Microflex,,Audio,,
50,10000050,,Shure,MX393/S Microflex,,Audio,,
51,10000051,,Shure,MX393/S Microflex,,Audio,,
52,10000052,,Shure,MX393/S Microflex,,Audio,,
53,10000053,,Shure,MX393/S Microflex,,Audio,,
54,10000054,,Shure,MX393/S Microflex,,Audio,,
55,10000055,,Shure,MX393/S Microflex,,Audio,,
56,10000056,,Shure,MX393/S Microflex,,Audio,,
57,10000057,,Shure,MX393/S Microflex,,Audio,,
58,10000058,,Shure,MX393/S Microflex,,Audio,,
59,10000059,,Shure,MX393/S Microflex,,Audio,,
60,10000060,,Shure,MX393/S Microflex,,Audio,,
61,10000061,,Shure,MX393/S Microflex,,Audio,,
62,10000062,,Shure,MX393/S Microflex,,Audio,,
63,10000063,,Shure,PGA58 w/Stand,,Audio,,
64,10000064,,Shure,PGA58 w/Stand,,Audio,,
65,10000065,,Shure,PGA58 w/Stand,,Audio,,
66,10000066,,Shure,PGA58 w/Stand,,Audio,,
67,10000067,,Shure,PGA58 w/Stand,,Audio,,
68,10000068,,Shure,GLXD4D G50,,Audio,,
69,10000069,,Shure,GLXD4D G50,,Audio,,
70,10000070,,Shure,GLXD4D G50,,Audio,,
71,10000071,,Shure,ULXD2/SM58,,Audio,,
72,10000072,,Shure,ULXD2/SM58,,Audio,,
73,10000073,,Shure,ULXD2/SM58,,Audio,,
74,10000074,,Shure,ULXD2/SM58,,Audio,,
75,10000075,,Shure,ULXD2/SM58,,Audio,,
76,10000076,,Shure,ULXD2/SM58,,Audio,,
77,10000077,,Shure,ULXD1,,Audio,,
78,10000078,,Shure,ULXD1,,Audio,,
79,10000079,,Shure,ULXD1,,Audio,,
80,10000080,,Shure,ULXD1,,Audio,,
81,10000081,,Shure,ULXD1,,Audio,,
82,10000082,,Shure,ULXD1,,Audio,,
83,10000083,,QSC,TouchMix 8,,Audio,,"test
test again
test one more time
"
84,10000084,,Allen & Heath,Avantis,,Audio,,
85,10000085,,Allen & Heath,DX168,,Audio,,
86,10000086,,Focusrite,Scarlett 2i2,,Audio,,
87,10000087,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
88,10000088,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
89,10000089,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
90,10000090,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
91,10000091,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
92,10000092,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
93,10000093,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
94,10000094,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
95,10000095,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
96,10000096,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
97,10000097,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
98,10000098,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
99,10000099,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
100,10000100,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
101,10000101,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
102,10000102,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
103,10000103,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
104,10000104,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
105,10000105,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
106,10000106,,SZLamp,2m x 1m LED Panles (case of 6),,Video,,
107,10000107,,Novastar,VX4S,,Video,,
108,10000108,,Novastar,VX4S,,Video,,
109,10000109,,Novastar,VX6S,,Video,,
110,10000110,,Novastar,VX1000,,Video,,